Index,long,lat,B04
427,40.163073548174154,-121.09873201195163,123
428,39.68224757635809,-120.61493474299843,163
429,40.37516334387261,-121.05709212126041,373
430,40.31050062182496,-121.33548672765203,270
431,39.71535010774469,-121.31617128399184,518
432,40.119680201960556,-121.67659160669432,607
433,40.596991950380676,-120.52303908719556,1130
434,40.638957274118624,-121.74183740118633,405
435,39.89583080809349,-120.81058094088618,896
436,40.60907922605327,-121.56662984541718,552
437,40.217593064490295,-121.02446742049158,387
438,40.17568364507989,-121.22333891881223,1332
439,40.55987313973307,-121.62425772210884,653
440,40.05490766696178,-121.49952493326917,336
441,40.49766078998903,-121.12707681453483,234
442,40.329628589819514,-120.86076888781427,822
443,40.006209461409405,-120.92935943985961,231
444,40.4619005963349,-121.00871626074351,294
445,39.906215276504554,-121.46896608241904,199
446,39.711217602803906,-121.1625256170828,952
447,40.53352361704911,-120.76775577708062,412
448,40.52535898979793,-121.58600546983044,323
449,39.94679451952867,-121.10016994191922,480
450,40.2273442670999,-121.80978366837543,856
451,40.310916228858765,-121.08305870715041,547
452,39.75294092661756,-121.11262806740996,823
453,39.888579805043236,-120.94600249918493,609
454,39.71232412589401,-121.80620139731346,1688
455,39.69631667446826,-120.74179763677924,232
456,40.255828010090504,-121.07485552165866,1296
457,39.91227407500111,-120.69681514544425,338
458,40.02680914205466,-121.02037465129759,20
