Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
65,662360,4445129,5,712,1158,1510,2094,2894,2570,1620,-1603,-1020
66,610670,4422760,4,365,568,662,2100,1571,909,5206,1441,3958
67,651250,4489840,4,441,558,734,907,1690,1748,1054,-3015,-3167
68,693110,4420149,4,119,371,271,1997,1235,767,7610,2357,4450
69,656449,4394809,5,254,430,532,1371,1759,1389,4408,-1239,-65
70,670420,4479390,5,410,658,794,1739,2325,1623,3730,-1441,345
71,629769,4480400,4,1368,1650,2042,2674,760,505,1340,5573,6822
72,689060,4489370,5,301,566,638,1700,1507,1059,4542,601,2323
73,652880,4483800,5,1632,1676,1904,2788,1058,824,1884,4498,5437
74,702310,4465089,4,316,451,415,2364,1360,824,7013,2696,4830
75,708059,4461559,4,528,739,826,2521,1910,1234,5064,1378,3427
76,616650,4489180,4,222,452,395,2340,1280,727,7111,2928,5259
77,664400,4421070,5,800,1382,2202,2893,3338,2734,1356,-714,282
78,703530,4452620,5,703,864,1040,2104,2367,1964,3384,-588,344
79,616050,4497640,4,210,436,399,2245,1312,821,6981,2622,4644
80,666660,4471500,4,398,564,852,1189,2294,2104,1651,-3172,-2778
81,630519,4499950,4,389,601,614,2167,2387,1596,5584,-483,1517
82,644939,4405070,5,1048,1482,1962,2597,4013,3464,1392,-2142,-1430
83,678590,4491360,4,324,530,477,1860,1541,1032,5917,937,2863
84,601339,4478940,4,398,608,645,2456,2474,1721,5840,-36,1759
85,628329,4464200,4,444,610,948,1583,2282,1736,2508,-1808,-460
86,672809,4483629,4,422,614,642,1977,2052,1412,5097,-186,1667
87,689590,4456099,4,745,1023,1392,1946,2666,2632,1659,-1561,-1498
88,651890,4478580,6,50,89,86,109,742,768,1179,-7438,-7514
89,655969,4441980,4,880,1246,1808,2346,3918,3912,1295,-2509,-2502
90,693480,4399800,4,3508,3552,3272,3849,721,475,810,6844,7802
91,604670,4455729,4,88,271,217,1965,1326,677,8010,1941,4875
92,706279,4412070,4,176,345,323,1752,1547,1040,6886,621,2550
93,665290,4447500,4,402,603,866,1156,2583,2739,1434,-3816,-4064
94,694359,4462900,4,476,660,834,1898,2143,1622,3894,-606,784
95,663170,4435300,4,674,982,1302,1555,2465,2545,885,-2263,-2414
96,610169,4421300,4,251,560,416,2699,1425,695,7329,3089,5904
97,650520,4435790,5,332,609,1302,1865,2977,2747,1777,-2296,-1912
98,663720,4457930,4,367,702,696,3553,2183,1402,6723,2388,4341
99,669499,4404780,5,461,709,930,1813,2637,2147,3219,-1851,-843
100,647200,4471849,4,205,313,422,617,1412,1510,1876,-3918,-4198
101,701890,4494949,4,1004,1202,1238,2698,2279,1622,3709,841,2490
